case,time_msec,ham_dist
1,351.917056,3
1,394.600192,0
1,412.015104,0
1,471.326208,0
1,520.38912,0
1,631.219968,0
1,692.156928,0
1,862.722048,0
1,1149.725952,0
1,3332.769024,0
1,5883.367936,0
1,28548.72294,0
1,49107.10093,0
2,299.429888,3
2,337.456128,0
2,362.576128,0
2,400.193024,0
2,472.452096,0
2,556.67712,0
2,628.30208,0
2,790.914048,0
2,1064.939008,0
2,3074.729984,0
2,5430.765056,0
2,27177.2969,0
2,52512.94003,0
3,347.931136,1
3,365.170944,1
3,405.462016,1
3,440.740096,1
3,513.883136,1
3,608.932864,1
3,675.296,1
3,865.069056,1
3,1196.557824,1
3,3232.594944,1
3,5497.570816,1
3,27840.09805,1
3,53163.09094,1
4,476.343808,2
4,508.981248,2
4,531.565056,2
4,567.606016,2
4,643.136,2
4,759.110912,2
4,802.100992,2
4,1004.612096,2
4,1281.92896,2
4,3427.086848,2
4,6329.660928,2
4,28726.35622,2
4,56620.17587,2
